assessid,fao_area
NIWA-SCMPMB-1989-2014-FU,81
NIWA-SCMPWHB-1985-2012-FU,81
NIWA-SMOOTHOREOBP-1983-2008-CORDUE,81
NIWA-SMOOTHOREOCR-1955-2013-FU,81
NIWA-SMOOTHOREOEPR-1973-2006-CORDUE,81
NIWA-SMOOTHOREOSLD-1973-2007-CORDUE,81
NIWA-SMOOTHOREOWECR-1965-2009-CORDUE,81
NIWA-SOUTHHAKECR-1974-2012-FU,81
NIWA-SOUTHHAKESA-1974-2014-FU,81
NIWA-SOUTHHAKEWCSI-1973-2012-FU,81
NIWA-TARAKNZ-1932-2007-CORDUE,81
NMFS-MENATLAN-1940-2005-STANTON,21
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,77
NWFSC-BGROCKPCOAST-1950-2011-STACHURA,77
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,67
NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,77
NWFSC-BLUEROCKCAL-1916-2007-BRANCH,77
NWFSC-CABEZORECOAST-1973-2009-STACHURA,67
NWFSC-CHILISPCOAST-1892-2007-BRANCH,77
NWFSC-CROCKPCOAST-1916-2011-STACHURA,77
NWFSC-DKROCKPCOAST-1928-2011-STACHURA,77
NWFSC-ESOLEPCOAST-1876-2007-BRANCH,77
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,67
NWFSC-LINGCODNPCOAST-1928-2009-STACHURA,67
NWFSC-LINGCODSPCOAST-1928-2009-STACHURA,77
NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH,77
NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY,77
NWFSC-POPERCHPCOAST-1940-2011-STACHURA,77
NWFSC-SABLEFPCOAST-1900-2011-STACHURA,77
NWFSC-SNROCKPCOAST-1905-2009-STANTON,77
NWFSC-SPSDOGPCOAST-1916-2011-STACHURA,77
NWFSC-SSTHORNHPCOAST-1901-2005-STANTON,77
NWFSC-WROCKPCOAST-1916-2011-STACHURA,77
NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA,77
NWFSC-YTROCKNPCOAST-1967-2005-STANTON,67
NWWG-CAPEICE-1977-2010-NEUBAUER,NA
NWWG-CODFAPL-1959-2012-CHING,27
NWWG-CODICE-1952-2012-CHING,27
NWWG-HADFAPL-1955-2012-CHING,27
NWWG-HADICE-1977-2012-CHING,NA
NWWG-HERRIsum-1984-2011-NEUBAUER,NA
NWWG-POLLFAPL-1958-2012-CHING,27
NWWG-POLLIEG-1977-2012-CHING,NA
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,81
NZMFishINSHOREWG-BNSNZ-1935-2011-CORDUE,81
NZMFishINSHOREWG-NZSNAPNZ7-1931-2014-LANGLEY,81
NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN,81
NZMFishINSHOREWG-TREVALLYTRE7-1944-2014-LANGLEY,81
NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN,NA
NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN,81
NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN,81
NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN,81
